"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)",VALUE ,"52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Sep-2022"
NIFTY 50,"19,774.80","19,867.15","19,727.05","19,727.05","19,819.95",92.9,0.47,"28,80,93,693","2,35,30,69,41,583.44","19,991.85","16,747.70",1.42,11.14
NTPC,236,243.6,235,234.1,240.5,6.4,2.73,"2,88,56,420","6,94,57,40,294.00",243.6,155,10.51,44.21
COALINDIA,274.6,284.45,270.9,274,281.25,7.25,2.65,"4,18,55,413","11,71,28,18,773.92",284.45,207.6,20.09,18.73
BPCL,354.75,364.5,354.05,354.6,361.9,7.3,2.06,"51,72,065","1,86,24,60,606.50",397.9,288.05,-0.19,6.93
TATAMOTORS,617.95,628.9,614.2,614.9,626.95,12.05,1.96,"1,61,90,749","10,10,33,51,190.98",665.4,375.2,1.46,40.67
LT,"2,888.00","2,928.70","2,872.45","2,846.40","2,900.00",53.6,1.88,"36,38,510","10,56,24,85,374.70","2,928.70","1,797.40",9.76,48.82
HEROMOTOCO,"2,969.80","3,027.00","2,960.15","2,960.90","3,012.00",51.1,1.73,"5,69,352","1,71,06,46,551.60","3,244.00","2,246.00",-0.89,6
ADANIPORTS,810.9,828.8,810.15,809.9,823,13.1,1.62,"1,16,83,222","9,60,29,07,490.68",987.85,395.1,2.77,-9.03
ONGC,182.5,184.95,182,181.75,184.4,2.65,1.46,"97,37,214","1,78,91,15,700.36",186.75,121.5,3.25,37.65
BAJAJFINSV,"1,530.00","1,558.80","1,525.05","1,519.55","1,540.60",21.05,1.39,"21,68,354","3,35,27,74,005.42","1,844.00","1,215.00",1.42,-91.04
BHARTIARTL,881.8,890.65,878.15,875.3,884.95,9.65,1.1,"37,41,470","3,31,54,28,811.10",901.4,686.2,1.26,15.68
